# Time-averaged data for fix calcRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 100
45 1.78 0.960679 10.4988
46 1.82 0.990504 11.1552
47 1.86 1.01245 11.856
48 1.9 1.04089 12.6077
49 1.94 1.07435 13.4167
50 1.98 1.11594 14.2919
51 2.02 1.15957 15.2385
52 2.06 1.18403 16.2438
53 2.1 1.19938 17.3019
54 2.14 1.20336 18.4045
55 2.18 1.20142 19.5467
56 2.22 1.19868 20.7286
57 2.26 1.16706 21.9212
58 2.3 1.14832 23.1365
59 2.34 1.12844 24.3726
60 2.38 1.10446 25.6242
61 2.42 1.08433 26.8947
62 2.46 1.07009 28.1902
63 2.5 1.05043 29.5036
64 2.54 1.0403 30.8464
65 2.58 1.03525 32.225
66 2.62 1.0288 33.6378
67 2.66 1.02048 35.0824
68 2.7 1.02086 36.5712
69 2.74 1.01653 38.098
70 2.78 1.02142 39.6773
71 2.82 1.02884 41.3141
72 2.86 1.02824 42.9967
73 2.9 1.03336 44.7354
74 2.94 1.03067 46.5176
75 2.98 1.03874 48.3631
76 3.02 1.04035 50.2613
77 3.06 1.04384 52.2167
78 3.1 1.04385 54.2236
79 3.14 1.04933 56.2934
80 3.18 1.04664 58.4108
81 3.22 1.03941 60.5669
82 3.26 1.03782 62.7734
83 3.3 1.03119 65.02
84 3.34 1.02751 67.3132
85 3.38 1.0201 69.6447
86 3.42 1.02145 72.0348
87 3.46 1.0158 74.4677
88 3.5 1.01121 76.9459
89 3.54 1.00594 79.4678
90 3.58 1.00284 82.0391
91 3.62 1.00474 84.6732
92 3.66 0.994664 87.3388
93 3.7 0.996737 90.0687
94 3.74 0.994949 92.8529
95 3.78 0.995973 95.6999
96 3.82 0.992893 98.5985
97 3.86 0.99188 101.555
98 3.9 0.989069 104.565
99 3.94 0.992575 107.647
100 3.98 0.993355 110.795
250000 100
1 0.02 0 0
2 0.06 0 0
3 0.1 0 0
4 0.14 0 0
5 0.18 0 0
6 0.22 0 0
7 0.26 0 0
8 0.3 0 0
9 0.34 0 0
10 0.38 0 0
11 0.42 0 0
12 0.46 0 0
13 0.5 0 0
14 0.54 0 0
15 0.58 0 0
16 0.62 0 0
17 0.66 0 0
18 0.7 0 0
19 0.74 0 0
20 0.78 0 0
21 0.82 0 0
22 0.86 0 0
23 0.9 0.00283824 0.00046
24 0.94 0.107242 0.01942
25 0.98 0.641442 0.14268
26 1.02 1.59729 0.47518
27 1.06 2.30782 0.994
28 1.1 2.54008 1.60894
29 1.14 2.4735 2.2521
30 1.18 2.23472 2.87466
31 1.22 1.97461 3.46268
32 1.26 1.70189 4.00326
33 1.3 1.50277 4.51138
34 1.34 1.34075 4.99304
35 1.38 1.23276 5.46274
36 1.42 1.13544 5.9208
37 1.46 1.05903 6.37244
38 1.5 1.01263 6.82828
39 1.54 0.971295 7.28914
40 1.58 0.935715 7.75648
41 1.62 0.935179 8.2475
42 1.66 0.920512 8.75498
43 1.7 0.933051 9.29446
44 1.74 0.948628 9.86906
45 1.78 0.962572 10.4792
46 1.82 0.991681 11.1364
47 1.86 1.00823 11.8342
48 1.9 1.04152 12.5865
49 1.94 1.08351 13.4023
50 1.98 1.12285 14.283
51 2.02 1.14923 15.2211
52 2.06 1.17835 16.2215
53 2.1 1.19774 17.2783
54 2.14 1.2067 18.3839
55 2.18 1.19789 19.5228
56 2.22 1.18941 20.6955
57 2.26 1.17489 21.8961
58 2.3 1.14422 23.107
59 2.34 1.13633 24.3518
60 2.38 1.09955 25.5979
61 2.42 1.08443 26.8684
62 2.46 1.0691 28.1628
63 2.5 1.04629 29.471
64 2.54 1.04749 30.823
65 2.58 1.03119 32.1962
66 2.62 1.02083 33.5981
67 2.66 1.02416 35.0479
68 2.7 1.02347 36.5405
69 2.74 1.01993 38.0724
70 2.78 1.02148 39.6518
71 2.82 1.02929 41.2894
72 2.86 1.02686 42.9697
73 2.9 1.03457 44.7104
74 2.94 1.03583 46.5016
75 2.98 1.0405 48.3501
76 3.02 1.04913 50.2644
77 3.06 1.04394 52.22
78 3.1 1.04791 54.2347
79 3.14 1.04743 56.3007
80 3.18 1.04305 58.4109
81 3.22 1.04368 60.5758
82 3.26 1.03445 62.7752
83 3.3 1.03035 65.0199
84 3.34 1.02785 67.3139
85 3.38 1.02293 69.6518
86 3.42 1.02534 72.0511
87 3.46 1.01138 74.4734
88 3.5 1.01093 76.9509
89 3.54 1.00576 79.4723
90 3.58 1.00034 82.0372
91 3.62 1.00375 84.6687
92 3.66 0.999283 87.3467
93 3.7 0.994568 90.0706
94 3.74 0.993699 92.8513
95 3.78 0.995805 95.6978
96 3.82 0.997675 98.6104
97 3.86 0.991766 101.567
98 3.9 0.995858 104.597
99 3.94 0.995325 107.688
100 3.98 0.997596 110.849
300000 100
1 0.02 0 0
2 0.06 0 0
3 0.1 0 0
4 0.14 0 0
5 0.18 0 0
6 0.22 0 0
7 0.26 0 0
8 0.3 0 0
9 0.34 0 0
10 0.38 0 0
11 0.42 0 0
12 0.46 0 0
13 0.5 0 0
14 0.54 0 0
15 0.58 0 0
16 0.62 0 0
17 0.66 0 0
18 0.7 0 0
19 0.74 0 0
20 0.78 0 0
21 0.82 0 0
22 0.86 0 0
23 0.9 0.00296164 0.00048
24 0.94 0.104188 0.0189
25 0.98 0.644877 0.14282
26 1.02 1.5677 0.46916
27 1.06 2.2934 0.98474
28 1.1 2.54058 1.5998
29 1.14 2.46481 2.2407
30 1.18 2.2241 2.8603
31 1.22 1.93505 3.43654
32 1.26 1.71083 3.97996
33 1.3 1.51851 4.4934
34 1.34 1.36173 4.9826
35 1.38 1.23135 5.45176
36 1.42 1.14124 5.91216
37 1.46 1.06817 6.3677
38 1.5 1.0053 6.82024
39 1.54 0.97277 7.2818
40 1.58 0.94957 7.75606
41 1.62 0.93217 8.2455
42 1.66 0.926426 8.75624
43 1.7 0.922777 9.28978
44 1.74 0.939217 9.85868
45 1.78 0.960995 10.4678
